CensusTract,State,County,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,LowIncomeTracts,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,DollarStoreCount,SnapStoreCount,WalmartCount,Land.Value.1.4.Acre.Lot.Standardized,Land.Value.per.Acre.as.is,Land.Share.of.Property.Value,Lot.Size,Interior.Square.Feet,Property.Value.Standardized,Property.Value.as.is,HPI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,HousingUnits,TotalPopulation,KidsShare,SeniorsShare,WhiteShare,BlackShare,AsianShare,NHOPIShare,AIANShare,OMultirShare,HispanicShare,HUNVShare,SNAPShare,DollarStoreShare,SnapStoreShare,WalmartShare
12001000200,Florida,Alachua County,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,30800,161500,0.188,7070,1220,243500,139500,NA,328,163,5575,1155,340,7,20,334,838,97,190,3426,7557,0.043403466984253,0.0215694058488818,0.737726611089056,0.152838427947598,0.0449913987031891,9.26293502712717e-4,0.00264655286489348,0.0441974328437211,0.110890565039037,0.0283129013426737,0.0554582603619381,0,0,0
12001000301,Florida,Alachua County,0,0,0,0,1,0,0,0,0,0,0,0,0,2,12,0,NA,NA,NA,NA,NA,NA,NA,186.44,451,248,2301,751,70,0,20,166,332,187,383,2060,4426,0.101897876186173,0.0560325350203344,0.51988251242657,0.16967916854948,0.0158156348847718,0,0.00451875282422051,0.0375056484410303,0.0750112968820606,0.0907766990291262,0.185922330097087,4.51875282422052e-4,0.00271125169453231,0
12001000302,Florida,Alachua County,0,1,0,0,1,0,1,0,1,0,0,0,0,1,8,0,28700,100400,0.247,12560,1260,201700,117200,224.06,547,247,1673,877,77,0,20,123,209,30,245,1521,2319,0.235877533419577,0.10651142733937,0.721431651573954,0.378180250107805,0.0332039672272531,0,0.0086244070720138,0.0530401034928849,0.0901250539025442,0.019723865877712,0.161078238001315,4.3122035360069e-4,0.00344976282880552,0
12001000400,Florida,Alachua County,1,1,1,1,1,1,1,1,1,1,0,0,1,2,6,0,20900,89700,0.2,9790,1300,169800,100800,199.66,1676,496,1857,3437,74,1,22,274,297,212,576,2439,6256,0.267902813299233,0.0792838874680307,0.296835038363171,0.549392583120205,0.0118286445012788,1.59846547314578e-4,0.00351662404092072,0.0437979539641944,0.0474744245524297,0.0869208692086921,0.236162361623616,3.19693094629156e-4,9.59079283887468e-4,0
12001000500,Florida,Alachua County,1,1,1,1,1,1,1,1,1,1,0,0,1,0,9,0,49400,190100,0.254,11080,1510,262300,190600,378.65,659,423,3621,1030,80,2,33,210,296,221,275,2899,4973,0.132515584154434,0.0850593203297808,0.728131912326563,0.207118439573698,0.0160868690931028,4.02171727327569e-4,0.00663583350090489,0.0422280313693947,0.0595214156444802,0.0762331838565022,0.0948602966540186,0,0.00180977277297406,0
12001000600,Florida,Alachua County,1,1,1,1,1,1,1,1,1,1,0,0,1,2,9,1,14800,48700,0.172,13100,1250,139900,85000,NA,1511,463,256,3961,16,0,5,112,95,231,426,1954,4963,0.304452951843643,0.0932903485794882,0.0515817046141447,0.798105984283699,0.00322385653838404,0,0.00100745516824501,0.0225669957686883,0.0191416481966552,0.118219037871034,0.218014329580348,4.02982067298005e-4,0.00181341930284102,2.01491033649003e-4
12001000700,Florida,Alachua County,0,0,0,1,1,0,0,0,0,0,0,0,1,0,7,0,14500,34000,0.189,20600,1230,144900,85000,111.75,1518,825,1155,4699,18,0,27,176,150,336,621,2804,6505,0.233358954650269,0.126825518831668,0.177555726364335,0.722367409684858,0.00276710222905457,0,0.00415065334358186,0.0270561106840892,0.0230591852421214,0.119828815977175,0.221469329529244,0,0.001076095311299,0
12001000806,Florida,Alachua County,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,106,90,1482,295,277,1,5,120,272,161,83,1458,2526,0.0419635787806809,0.0356294536817102,0.586698337292161,0.116785431512272,0.10965954077593,3.95882818685669e-4,0.00197941409342835,0.0475059382422803,0.107680126682502,0.11042524005487,0.0569272976680384,0,7.91765637371338e-4,0
12001000808,Florida,Alachua County,0,1,0,1,1,0,1,0,1,0,0,0,1,1,6,0,NA,NA,NA,NA,NA,NA,NA,162.02,488,103,1941,728,710,7,14,230,362,191,187,1666,3430,0.142274052478134,0.0300291545189504,0.565889212827988,0.212244897959184,0.206997084548105,0.00204081632653061,0.00408163265306122,0.0670553935860058,0.105539358600583,0.114645858343337,0.112244897959184,2.91545189504373e-4,0.00174927113702624,0
12001000809,Florida,Alachua County,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,70,189,882,208,212,0,5,57,97,92,62,912,1287,0.0543900543900544,0.146853146853147,0.685314685314685,0.161616161616162,0.164724164724165,0,0.00388500388500389,0.0442890442890443,0.0753690753690754,0.100877192982456,0.0679824561403509,7.77000777000777e-4,7.77000777000777e-4,0
12001000901,Florida,Alachua County,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,142,2,1808,320,569,1,6,173,370,95,42,557,4403,0.0322507381330911,4.54235748353395e-4,0.410629116511469,0.0726777197365433,0.129230070406541,2.27117874176698e-4,0.00136270724506019,0.0392913922325687,0.0840336134453782,0.170556552962298,0.0754039497307002,0,0,0
12001000902,Florida,Alachua County,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,27,0,4267,794,499,3,9,354,1023,0,5,28,6684,0.0040394973070018,0,0.638390185517654,0.118791143028127,0.074655894673848,4.48833034111311e-4,0.00134649910233393,0.0529622980251346,0.153052064631957,0,0.178571428571429,0,0,0
12001001000,Florida,Alachua County,0,1,0,1,1,0,1,0,1,0,0,0,1,0,7,0,54400,155100,0.281,16720,1760,245200,211600,351.71,412,565,5622,149,189,2,13,232,644,243,150,2984,5703,0.0722426792916009,0.099070664562511,0.985796948974224,0.0261266000350693,0.0331404523934771,3.50692617920393e-4,0.00227950201648255,0.0406803436787656,0.112923022970366,0.0814343163538874,0.0502680965147453,0,0.00122742416272137,0
12001001100,Florida,Alachua County,0,0,0,0,0,0,1,0,1,0,0,0,0,1,4,0,42700,107300,0.255,20680,1880,205200,200000,339.04,1029,1468,5650,352,232,5,14,185,383,143,185,3287,6977,0.147484592231618,0.210405618460656,0.80980364053318,0.050451483445607,0.0332521140891501,7.16640389852372e-4,0.00200659309158664,0.0265156944245378,0.0548946538626917,0.0435047155460907,0.0562823243078795,1.43328077970474e-4,5.73312311881898e-4,0
12001001201,Florida,Alachua County,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,37200,120700,0.262,14010,1450,207800,148200,248.33,590,409,2251,317,199,0,11,128,257,70,73,1371,3471,0.169979832901181,0.117833477384039,0.648516277729761,0.0913281475079228,0.0573321809276865,0,0.00316911552866609,0.0368769806972054,0.0740420628061078,0.0510576221735959,0.0532458059810357,0,5.76202823393835e-4,0
12001001202,Florida,Alachua County,0,0,0,0,0,1,1,1,1,1,0,0,0,1,5,0,38000,150300,0.28,10490,1280,211700,129300,288.65,1441,637,5211,884,457,8,19,335,708,136,285,3651,7857,0.183403334606084,0.0810742013491154,0.663230240549828,0.112511136566119,0.0581646939035255,0.00101820033091511,0.00241822578592338,0.0426371388570701,0.090110729285987,0.0372500684743906,0.0780608052588332,1.27275041364388e-4,6.36375206821942e-4,0
12001001203,Florida,Alachua County,0,1,0,0,1,0,1,0,1,0,0,0,0,0,2,0,30300,102100,0.224,12250,1370,193900,128200,228.22,668,242,2595,699,160,0,11,192,280,90,116,1950,3506,0.190530519110097,0.0690245293782088,0.740159726183685,0.19937250427838,0.0456360524814604,0,0.0031374786081004,0.0547632629777524,0.0798630918425556,0.0461538461538462,0.0594871794871795,0,5.70450656018254e-4,0
12001001400,Florida,Alachua County,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,13400,31700,0.174,20980,1260,139100,87800,NA,655,284,1810,2621,13,2,10,129,194,70,152,1088,4652,0.140799656061909,0.061049011177988,0.389079965606191,0.5634135855546,0.0027944969905417,4.29922613929493e-4,0.00214961306964746,0.0277300085984523,0.0417024935511608,0.0643382352941176,0.139705882352941,0,2.14961306964746e-4,0
12001001514,Florida,Alachua County,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,59,12,804,127,263,1,1,85,196,68,22,1085,1689,0.0349319123741859,0.00710479573712256,0.476021314387211,0.0751924215512137,0.155713439905269,5.9206631142688e-4,5.9206631142688e-4,0.0503256364712848,0.116044997039668,0.0626728110599078,0.0202764976958525,0,0.00177619893428064,0
12001001515,Florida,Alachua County,0,1,0,1,1,0,1,0,1,0,0,0,1,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,398,71,3773,1305,832,1,20,412,959,355,261,3208,4919,0.0809107542183371,0.0144338280138239,0.767025818255743,0.26529782476113,0.16914006911974,2.0329335230738e-4,0.00406586704614759,0.0837568611506404,0.194958324862777,0.110660847880299,0.081359102244389,0,8.13173409229518e-4,0
12001001516,Florida,Alachua County,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,141,17,1415,349,217,0,9,159,282,94,69,1337,2422,0.0582163501238646,0.00701899256812552,0.584227910817506,0.144095788604459,0.0895953757225433,0,0.0037159372419488,0.0656482246077622,0.116432700247729,0.0703066566940913,0.0516080777860883,0,0,0
12001001517,Florida,Alachua County,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,328,161,2787,1085,546,5,5,306,663,157,83,2481,4547,0.0721354739388608,0.0354079612931603,0.612931603254893,0.238618869584341,0.120079173081152,0.00109962612711678,0.00109962612711678,0.067297118979547,0.145810424455685,0.0632809351068118,0.0334542523176139,2.19925225423356e-4,2.19925225423356e-4,0
12001001519,Florida,Alachua County,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,90,5,1365,421,604,1,9,159,361,202,53,977,2622,0.034324942791762,0.001906941266209,0.520594965675057,0.160564454614798,0.230358504958047,3.813882532418e-4,0.0034324942791762,0.0606407322654462,0.13768115942029,0.20675537359263,0.0542476970317298,0,0.0022883295194508,0
12001001520,Florida,Alachua County,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,212,113,1526,589,187,4,5,171,403,71,72,1380,2494,0.0850040096230954,0.045308740978348,0.61186848436247,0.23616680032077,0.0749799518845229,0.00160384923817161,0.00200481154771451,0.0685645549318364,0.16158781074579,0.0514492753623188,0.0521739130434783,0,0,0
12001001521,Florida,Alachua County,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,374,50,2590,695,511,0,19,305,580,268,200,2669,4221,0.0886045960672826,0.0118455342335939,0.613598673300166,0.164652925846956,0.12106135986733,0,0.0045013030087657,0.072257758824923,0.13740819710969,0.100412139378044,0.0749344323716748,0,0,0
12001001603,Florida,Alachua County,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,181.55,125,127,1035,94,50,2,7,81,122,20,27,723,1716,0.0728438228438228,0.074009324009324,0.603146853146853,0.0547785547785548,0.0291375291375291,0.00116550116550117,0.00407925407925408,0.0472027972027972,0.0710955710955711,0.0276625172890733,0.037344398340249003,0,0,0
12001001604,Florida,Alachua County,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,36300,98500,0.252,17230,1580,199300,154600,247.93,498,491,5831,920,435,7,19,432,1083,222,214,4032,7469,0.0666755924487883,0.0657383853260142,0.780693533270853,0.123175793278886,0.0582407283438211,9.37207122774133e-4,0.00254384790467265,0.0578390681483465,0.144999330566341,0.0550595238095238,0.0530753968253968,0,0,0
12001001701,Florida,Alachua County,0,0,0,0,0,1,1,1,1,1,0,0,1,0,2,0,38300,118700,0.274,15140,1390,214600,150500,312.02,1041,1040,4294,1080,195,4,14,308,521,378,150,3143,5161,0.201705095911645,0.201511335012594,0.832009300523154,0.209261770974617,0.0377833753148615,7.75043596202286e-4,0.002712652586708,0.0596783569075761,0.100949428405348,0.120267260579065,0.0477251034043907,0,3.87521798101143e-4,0
12001001702,Florida,Alachua County,0,0,0,0,0,1,1,1,1,1,0,0,0,0,4,0,43100,112600,0.283,18830,1640,208400,171800,307.41,787,1089,4139,290,149,4,3,151,298,112,51,2167,5804,0.135596140592695,0.18762922122674,0.713128876636802,0.0499655410062026,0.0256719503790489,6.89179875947622e-4,5.16884906960717e-4,0.0260165403170227,0.0513439007580979,0.0516843562528842,0.023534840793724,0,6.89179875947622e-4,0
12001001801,Florida,Alachua County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24500,46600,0.233,29190,1400,172400,133600,198.32,1695,1043,5983,1147,77,9,32,241,483,91,267,3278,7612,0.222674724119811,0.13702049395691,0.785995796111403,0.150683131897005,0.0101156069364162,0.0011823436678928,0.00420388859695218,0.0316605359957961,0.063452443510247,0.0277608297742526,0.0814521049420378,0,0,0
12001001802,Florida,Alachua County,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,22800,43300,0.255,30000,1270,174800,116900,166.56,690,452,1843,947,26,0,23,98,170,61,241,1322,2668,0.258620689655172,0.169415292353823,0.690779610194903,0.354947526236882,0.00974512743628186,0,0.00862068965517241,0.0367316341829085,0.0637181409295352,0.046142208774584,0.182299546142209,3.74812593703148e-4,0.00149925037481259,0
12001001803,Florida,Alachua County,0,0,0,0,0,1,1,1,1,1,0,0,0,0,3,1,37500,142500,0.223,11190,1610,207500,164000,281.03,1407,998,4409,1397,276,2,19,255,505,111,243,3076,6254,0.224976015350176,0.159577870163096,0.704988807163415,0.223377038695235,0.0441317556763671,3.19795330988168e-4,0.00303805564438759,0.0407739047009914,0.0807483210745123,0.0360858257477243,0.078998699609883,0,4.79692996482251e-4,1.59897665494084e-4
12001001805,Florida,Alachua County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45500,78700,0.299,38490,1890,200400,233000,161.55,376,202,1141,273,29,0,3,36,78,15,46,618,1562,0.240717029449424,0.12932138284251,0.730473751600512,0.174775928297055,0.0185659411011524,0,0.00192061459667093,0.0230473751600512,0.0499359795134443,0.0242718446601942,0.0744336569579288,0,0,0
12001001806,Florida,Alachua County,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24700,48600,0.238,27790,1320,177200,130500,244.7,2036,1127,7284,902,100,10,38,341,621,153,311,3873,9267,0.219704327182475,0.121614330419769,0.786014891550664,0.0973346282507823,0.0107909787417719,0.00107909787417719,0.00410057192187331,0.0367972375094421,0.0670119779864034,0.0395042602633617,0.080299509424219,0,0,0
12001001811,Florida,Alachua County,0,0,0,0,0,1,1,1,1,1,0,0,0,0,4,0,55200,113800,0.275,26980,2080,222500,256200,281.59,1085,768,4855,517,501,1,8,288,503,88,162,3316,6975,0.155555555555556,0.11010752688172,0.696057347670251,0.0741218637992831,0.0718279569892473,1.4336917562724e-4,0.00114695340501792,0.0412903225806452,0.0721146953405018,0.0265379975874548,0.048854041013269,0,5.73476702508961e-4,0
12001001813,Florida,Alachua County,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,49300,137500,0.236,15580,1870,203800,208200,282.14,554,408,2318,102,153,0,3,86,146,45,22,1492,3826,0.144798745426032,0.106638787245165,0.605854678515421,0.0266596968112912,0.0399895452169367,0,7.84108729743858e-4,0.0224777835859906,0.0381599581808677,0.0301608579088472,0.014745308310992,0,0,0
12001001814,Florida,Alachua County,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,37600,97600,0.224,18250,1770,196800,182100,142.01,525,459,2323,157,88,0,9,48,159,0,11,1166,2650,0.19811320754717,0.173207547169811,0.876603773584906,0.0592452830188679,0.0332075471698113,0,0.00339622641509434,0.0181132075471698,0.06,0,0.00943396226415094,0,0,0
12001001902,Florida,Alachua County,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,873,326,1174,1924,78,2,10,128,162,107,414,1464,3259,0.267873580853022,0.100030684258975,0.360233200368211,0.590365142681804,0.0239337220006137,6.13685179502915e-4,0.00306842589751457,0.0392758514881866,0.0497084995397361,0.0730874316939891,0.282786885245902,0,3.06842589751458e-4,0
12001001907,Florida,Alachua County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47100,69200,0.37,42760,1520,220400,183500,121.46,496,495,2281,222,11,2,17,88,65,33,114,1256,2779,0.178481468154012,0.178121626484347,0.820798848506657,0.0798848506657071,0.00395825836631882,7.19683339330694e-4,0.0061173083843109,0.0316660669305506,0.0233897085282476,0.0262738853503185,0.0907643312101911,0,3.59841669665347e-4,0
12001001908,Florida,Alachua County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,27900,40900,0.361,40380,1220,162300,105200,155.81,946,744,3393,1141,31,2,14,117,117,59,282,2142,4922,0.192198293376676,0.1511580658269,0.689353921170256,0.231816334823243,0.00629825274278749,4.06338886631451e-4,0.00284437220642015,0.0237708248679399,0.0237708248679399,0.0275443510737628,0.131652661064426,2.03169443315725e-4,8.12677773262901e-4,0
