CensusTract,State,County,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,LowIncomeTracts,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,DollarStoreCount,DollarStoreBinary,SnapStoreCount,SnapStoreBinary,WalmartCount,WalmartBinary,Land.Value.1.4.Acre.Lot.Standardized,Land.Value.per.Acre.as.is,Land.Share.of.Property.Value,Lot.Size,Interior.Square.Feet,Property.Value.Standardized,Property.Value.as.is,HPI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,HousingUnits,TotalPopulation,ChildShare,SeniorShare,WhiteShare,BlackShare,AsianShare,NHOPIShare,AIANShare,OMultirShare,HispanicShare,HUNVShare,SNAPShare
12001000302,Florida,Alachua County,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,8,1,0,0,28700,100400,0.247,12560,1260,201700,117200,224.06,547,247,1673,877,77,0,20,123,209,30,245,1521,2319,0.2358775334195774,0.10651142733937041,0.7214316515739543,0.3781802501078051,0.03320396722725313,0,0.008624407072013798,0.05304010349288486,0.0901250539025442,0.01972386587771203,0.16107823800131493
12001000400,Florida,Alachua County,1,1,1,1,1,1,1,1,1,1,0,0,1,2,1,6,1,0,0,20900,89700,0.2,9790,1300,169800,100800,199.66,1676,496,1857,3437,74,1,22,274,297,212,576,2439,6256,0.2679028132992327,0.0792838874680307,0.2968350383631714,0.5493925831202046,0.011828644501278773,1.5984654731457802e-4,0.003516624040920716,0.04379795396419437,0.047474424552429666,0.08692086920869209,0.23616236162361623
12001000500,Florida,Alachua County,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,9,1,0,0,49400,190100,0.254,11080,1510,262300,190600,378.65,659,423,3621,1030,80,2,33,210,296,221,275,2899,4973,0.13251558415443393,0.08505932032978082,0.7281319123265635,0.20711843957369797,0.016086869093102755,4.021717273275689e-4,0.006635833500904886,0.04222803136939473,0.05952141564448019,0.07623318385650224,0.09486029665401863
12001000700,Florida,Alachua County,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,7,1,0,0,14500,34000,0.189,20600,1230,144900,85000,111.75,1518,825,1155,4699,18,0,27,176,150,336,621,2804,6505,0.233358954650269,0.12682551883166795,0.17755572636433511,0.7223674096848578,0.0027671022290545735,0,0.00415065334358186,0.02705611068408916,0.023059185242121444,0.11982881597717546,0.22146932952924395
12001001000,Florida,Alachua County,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,7,1,0,0,54400,155100,0.281,16720,1760,245200,211600,351.71,412,565,5622,149,189,2,13,232,644,243,150,2984,5703,0.07224267929160091,0.09907066456251096,0.9857969489742241,0.026126600035069263,0.03314045239347712,3.506926179203928e-4,0.002279502016482553,0.040680343678765565,0.11292302297036648,0.0814343163538874,0.05026809651474531
12001001100,Florida,Alachua County,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4,1,0,0,42700,107300,0.255,20680,1880,205200,200000,339.04,1029,1468,5650,352,232,5,14,185,383,143,185,3287,6977,0.14748459223161817,0.21040561846065645,0.8098036405331804,0.050451483445606994,0.03325211408915006,7.166403898523721e-4,0.002006593091586642,0.026515694424537765,0.054894653862691704,0.04350471554609066,0.05628232430787952
12001001201,Florida,Alachua County,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,37200,120700,0.262,14010,1450,207800,148200,248.33,590,409,2251,317,199,0,11,128,257,70,73,1371,3471,0.1699798329011812,0.11783347738403918,0.6485162777297608,0.09132814750792279,0.05733218092768655,0,0.0031691155286660906,0.036876980697205415,0.07404206280610776,0.05105762217359591,0.05324580598103574
12001001202,Florida,Alachua County,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,5,1,0,0,38000,150300,0.28,10490,1280,211700,129300,288.65,1441,637,5211,884,457,8,19,335,708,136,285,3651,7857,0.18340333460608374,0.08107420134911544,0.6632302405498282,0.11251113656611939,0.05816469390352552,0.0010182003309151075,0.0024182257859233806,0.04263713885707013,0.09011072928598701,0.03725006847439058,0.0780608052588332
12001001203,Florida,Alachua County,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,2,1,0,0,30300,102100,0.224,12250,1370,193900,128200,228.22,668,242,2595,699,160,0,11,192,280,90,116,1950,3506,0.19053051911009697,0.06902452937820878,0.7401597261836851,0.1993725042783799,0.045636052481460354,0,0.0031374786081003994,0.05476326297775243,0.07986309184255562,0.046153846153846156,0.059487179487179485
12001001604,Florida,Alachua County,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,36300,98500,0.252,17230,1580,199300,154600,247.93,498,491,5831,920,435,7,19,432,1083,222,214,4032,7469,0.06667559244878833,0.0657383853260142,0.7806935332708529,0.12317579327888606,0.05824072834382113,9.372071227741331e-4,0.002543847904672647,0.0578390681483465,0.14499933056634087,0.05505952380952381,0.053075396825396824
